date,Bitcoin,Bitcoin Crash,Blockchain,Crisis,Cryptocurrency,Nicehash,Hashing,GPU,GeForce,mining,Tesla
2024-01-01,7.840000000000001,0.0,32.489999999999995,23.04,56.25,1.9600000000000002,5.29,62.410000000000004,62.410000000000004,47.61,72.25
2024-01-02,21.16,9.61,79.21000000000001,43.56,70.56,19.36,44.89,64.0,73.96,59.29,82.81
2024-01-03,20.25,100.0,51.839999999999996,49.0,88.36,17.64,54.76,75.69,72.25,57.76,73.96
2024-01-04,20.25,0.0,68.89,56.25,81.0,34.809999999999995,64.0,96.03999999999999,70.56,67.24,70.56
2024-01-05,16.0,0.0,31.360000000000003,42.25,67.24,13.69,47.61,72.25,64.0,60.84,62.410000000000004
2024-01-06,10.24,0.0,40.96,28.09,65.61,100.0,21.16,88.36,100.0,56.25,68.89
2024-01-07,7.840000000000001,26.01,39.69,29.160000000000004,51.839999999999996,81.0,18.49,79.21000000000001,72.25,65.61,57.76
2024-01-08,25.0,0.0,44.89,53.29,64.0,37.21,40.96,82.81,54.76,53.29,51.839999999999996
2024-01-09,36.0,0.0,50.41,72.25,62.410000000000004,39.69,51.839999999999996,79.21000000000001,72.25,60.84,50.41
2024-01-10,90.25,22.09,56.25,100.0,96.03999999999999,15.21,64.0,81.0,62.410000000000004,73.96,94.09
2024-01-11,100.0,1.69,67.24,86.49000000000001,100.0,29.160000000000004,73.96,82.81,54.76,67.24,84.64
2024-01-12,39.69,38.44,60.84,68.89,72.25,34.809999999999995,42.25,72.25,64.0,64.0,98.01
2024-01-13,18.49,5.76,59.29,49.0,57.76,84.64,20.25,77.44,90.25,73.96,96.03999999999999
2024-01-14,10.89,0.0,43.56,44.89,51.839999999999996,79.21000000000001,16.0,73.96,88.36,62.410000000000004,84.64
2024-01-15,12.959999999999999,3.2399999999999998,49.0,56.25,65.61,19.36,31.360000000000003,72.25,79.21000000000001,62.410000000000004,86.49000000000001
2024-01-16,12.959999999999999,11.56,79.21000000000001,54.76,49.0,50.41,44.89,62.410000000000004,56.25,57.76,88.36
2024-01-17,11.56,12.25,49.0,67.24,56.25,17.64,49.0,70.56,75.69,68.89,100.0
2024-01-18,10.24,20.25,56.25,67.24,54.76,12.959999999999999,75.69,75.69,82.81,68.89,81.0
2024-01-19,10.24,1.44,65.61,60.84,49.0,7.840000000000001,67.24,79.21000000000001,60.84,59.29,60.84
2024-01-20,6.76,23.04,39.69,51.839999999999996,47.61,16.81,27.04,82.81,90.25,68.89,77.44
2024-01-21,4.41,16.0,33.64,54.76,40.96,18.49,17.64,73.96,98.01,68.89,72.25
2024-01-22,10.24,4.41,65.61,81.0,50.41,19.36,53.29,75.69,65.61,86.49000000000001,56.25
2024-01-23,12.25,0.0,49.0,81.0,59.29,46.24,96.03999999999999,79.21000000000001,59.29,90.25,54.76
2024-01-24,10.24,14.44,68.89,75.69,54.76,1.0,88.36,100.0,73.96,92.16,72.25
2024-01-25,7.290000000000001,0.0,100.0,81.0,47.61,0.0,88.36,94.09,77.44,84.64,92.16
2024-01-26,7.290000000000001,0.0,51.839999999999996,82.81,44.89,16.0,62.410000000000004,86.49000000000001,72.25,88.36,75.69
2024-01-27,4.0,0.0,47.61,68.89,40.96,31.360000000000003,25.0,81.0,84.64,94.09,79.21000000000001
2024-01-28,3.61,0.0,29.160000000000004,60.84,39.69,24.009999999999998,26.01,70.56,82.81,100.0,70.56
2024-01-29,6.76,0.0,39.69,84.64,40.96,8.41,59.29,68.89,72.25,90.25,56.25
